"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Добавление трех товаров в корзину со страницы Products","1520","Добавление трех товаров в корзину со страницы Products","SauceDemo","Tue May 26 18:00:58 UTC 2026","passed","Tue May 26 18:00:59 UTC 2026","tests.CardPageTest","FireFox","tests.CardPageTest","checkThreeItemInCart"
"Проверка перехода в корзину при нажатии на тележку","713","Проверка перехода в корзину при нажатии на тележку","SauceDemo (0)","Tue May 26 18:01:20 UTC 2026","passed","Tue May 26 18:01:21 UTC 2026","tests.ProductPageTest","Smoke Tests","tests.ProductPageTest","checkOpenCard"
"Завершение оформления заказа нажатием на кнопку Finish","1076","Завершение оформления заказа нажатием на кнопку Finish","SauceDemo","Tue May 26 18:01:08 UTC 2026","passed","Tue May 26 18:01:09 UTC 2026","tests.CheckoutTest","FireFox","tests.CheckoutTest","checkFinishButton"
"Проверка корректной сортировки товаров на странице по алфавиту в обратном порядке","744","Проверка корректной сортировки товаров на странице по алфавиту в обратном порядке","SauceDemo","Tue May 26 18:00:23 UTC 2026","passed","Tue May 26 18:00:23 UTC 2026","tests.ProductPageTest","Chrome","tests.ProductPageTest","checkSortZA"
"Проверка перехода к карточке товара при нажатии на иконку товара","702","Проверка перехода к карточке товара при нажатии на иконку товара","SauceDemo","Tue May 26 18:00:20 UTC 2026","passed","Tue May 26 18:00:20 UTC 2026","tests.ProductPageTest","Chrome","tests.ProductPageTest","checkOpenItemOnIcon"
"Проверка перехода к карточке товара при нажатии на название товара","687","Проверка перехода к карточке товара при нажатии на название товара","SauceDemo","Tue May 26 18:00:21 UTC 2026","passed","Tue May 26 18:00:21 UTC 2026","tests.ProductPageTest","Chrome","tests.ProductPageTest","checkOpenItemOnName"
"Попытка вторизации в онлайн-магазине SouceDemo с невалидными данными","748","Авторизация в онлайн-магазине SouceDemo с неверными данными","SauceDemo","Tue May 26 18:00:14 UTC 2026","passed","Tue May 26 18:00:14 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","CheckLoginWithNegativeCred"
"Проверка оформления заказа Checkout из корзины","1548","Проверка оформления заказа Checkout из корзины","SauceDemo","Tue May 26 18:00:47 UTC 2026","passed","Tue May 26 18:00:49 UTC 2026","tests.CardPageTest","FireFox","tests.CardPageTest","checkOpenCheckout"
"Попытка вторизации в онлайн-магазине SouceDemo с невалидными данными","787","Авторизация в онлайн-магазине SouceDemo с неверными данными","SauceDemo","Tue May 26 18:00:16 UTC 2026","passed","Tue May 26 18:00:17 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","CheckLoginWithNegativeCred"
"Получение ошибки в Checkout: Your Information при оставлении поля 'Имя' пустым","1443","Получение ошибки в Checkout: Your Information при оставлении поля 'Имя' пустым","SauceDemo","Tue May 26 18:00:53 UTC 2026","passed","Tue May 26 18:00:55 UTC 2026","tests.CheckoutTest","FireFox","tests.CheckoutTest","checkInputWithoutName"
"Проверка удаления товаров из корзины после добавления со страницы Products","910","Проверка удаления товаров из корзины после добавления со страницы Products","SauceDemo (0)","Tue May 26 18:01:14 UTC 2026","passed","Tue May 26 18:01:15 UTC 2026","tests.CardPageTest","Smoke Tests","tests.CardPageTest","checkItemsAfterRemove"
"Попытка вторизации в онлайн-магазине SouceDemo с невалидными данными","714","Авторизация в онлайн-магазине SouceDemo с неверными данными","SauceDemo","Tue May 26 18:00:15 UTC 2026","passed","Tue May 26 18:00:16 UTC 2026","tests.LoginTest","Chrome","tests.LoginTest","CheckLoginWithNegativeCred"
"Возвращение в корзину из Checkout: Overview при нажатии Cancel","1184","Возвращение в корзину из Checkout: Overview при нажатии Cancel","SauceDemo","Tue May 26 18:01:03 UTC 2026","passed","Tue May 26 18:01:04 UTC 2026","tests.CheckoutTest","FireFox","tests.CheckoutTest","checkCancelButton2"
"Проверка перехода к карточке товара при нажатии на название товара","665","Проверка перехода к карточке товара при нажатии на название товара","SauceDemo (0)","Tue May 26 18:01:21 UTC 2026","passed","Tue May 26 18:01:22 UTC 2026","tests.ProductPageTest","Smoke Tests","tests.ProductPageTest","checkOpenItemOnName"
"Возвращение в Products из Checkout: Your Information при нажатии Cancel","1793","Возвращение в Products из Checkout: Your Information при нажатии Cancel","SauceDemo","Tue May 26 18:00:36 UTC 2026","passed","Tue May 26 18:00:38 UTC 2026","tests.CheckoutTest","FireFox","tests.CheckoutTest","checkCancelButton1"
"Проверка удаление товара из корзины со страницы Products с указанием {'products'} названия продукта который хотим добавить и удалить","784","Проверка удаление товара из корзины со страницы Products","SauceDemo","Tue May 26 18:00:24 UTC 2026","passed","Tue May 26 18:00:25 UTC 2026","tests.ProductPageTest","Chrome","tests.ProductPageTest","checkItemNotOnCart"
"Успешный ввод при оформлении товара в Checkout: Your Information и переход к Overview","1608","Успешный ввод при оформлении товара в Checkout: Your Information и переход к Overview","SauceDemo","Tue May 26 18:00:42 UTC 2026","passed","Tue May 26 18:00:44 UTC 2026","tests.CheckoutTest","FireFox","tests.CheckoutTest","checkInputCheckout"
"Проверка перехода в корзину при нажатии на тележку","675","Проверка перехода в корзину при нажатии на тележку","SauceDemo","Tue May 26 18:00:18 UTC 2026","passed","Tue May 26 18:00:19 UTC 2026","tests.ProductPageTest","Chrome","tests.ProductPageTest","checkOpenCard"
"Проверка добавление товара в корзину со страницы Products","729","Проверка добавление товара в корзину со страницы Products","SauceDemo (0)","Tue May 26 18:01:19 UTC 2026","passed","Tue May 26 18:01:20 UTC 2026","tests.ProductPageTest","Smoke Tests","tests.ProductPageTest","checkItemOnCart"
"Проверка перехода к карточке товара при нажатии на иконку товара","1345","Проверка разлогина с сайта со страницы Products","SauceDemo","Tue May 26 18:00:17 UTC 2026","passed","Tue May 26 18:00:18 UTC 2026","tests.ProductPageTest","Chrome","tests.ProductPageTest","checkLogOut"
"Проверка удаления товаров из корзины после добавления со страницы Products","1666","Проверка удаления товаров из корзины после добавления со страницы Products","SauceDemo","Tue May 26 18:00:52 UTC 2026","passed","Tue May 26 18:00:54 UTC 2026","tests.CardPageTest","FireFox","tests.CardPageTest","checkItemsAfterRemove"
"Проверка корректной сортировки товаров на странице по алфавиту","635","Проверка корректной сортировки товаров на странице по алфавиту","SauceDemo","Tue May 26 18:00:22 UTC 2026","passed","Tue May 26 18:00:22 UTC 2026","tests.ProductPageTest","Chrome","tests.ProductPageTest","checkSortAZ"
"Проверка оформления заказа Checkout из корзины","740","Проверка оформления заказа Checkout из корзины","SauceDemo (0)","Tue May 26 18:01:15 UTC 2026","passed","Tue May 26 18:01:16 UTC 2026","tests.CardPageTest","Smoke Tests","tests.CardPageTest","checkOpenCheckout"
"Авторизация в онлайн-магазине SouceDemo с валидными данными","622","Авторизация в онлайн-магазине SouceDemo с валидными данными","SauceDemo (0)","Tue May 26 18:01:22 UTC 2026","passed","Tue May 26 18:01:23 UTC 2026","tests.LoginTest","Smoke Tests","tests.LoginTest","CheckLoginWithValid"
"Проверка добавление товара в корзину со страницы Products","2143","Проверка добавление товара в корзину со страницы Products","SauceDemo","Tue May 26 18:00:11 UTC 2026","passed","Tue May 26 18:00:13 UTC 2026","tests.ProductPageTest","Chrome","tests.ProductPageTest","checkItemOnCart"
